icao24,callsign,dep_airport,arr_airport,firstseen,lastseen,day,event_ts,flight_duration_sec,dep_horiz_m,dep_vert_m,arr_horiz_m,arr_vert_m,dep_cand,arr_cand
000153,SWA8502,WSSS,OMDB,1700496061,1700543961,1700434800,2023-11-20 17:01:01,47900,9124,4333,13745,4060,1,1
000266,UAL8808,KORD,EKCH,1703335141,1703380852,1703286000,2023-12-23 13:39:01,45711,30156,9207,6773,9925,2,3
000516,DLH9954,KJFK,KATL,1703341240,1703347691,1703286000,2023-12-23 15:20:40,6451,1982,598,22816,1950,3,2
000587,QTR418,LKPR,EDDM,1692082435,1692088022,1692054000,2023-08-15 08:53:55,5587,38095,3343,36762,7743,4,3
0006b5,AAL664,ENGM,OMDB,1678605028,1678655332,1678575600,2023-03-12 08:10:28,50304,16163,5816,43022,2185,5,1
0007cc,UAE3779,LEBL,VHHH,1702597852,1702619045,1702594800,2023-12-15 00:50:52,21193,47147,6020,14107,8503,3,4
0008ca,DAL804,LEBL,EKCH,1674100489,1674118147,1674082800,2023-01-19 04:54:49,17658,46876,1981,23506,871,3,4
000aeb,UAL2272,LPPT,LSZH,1684262281,1684280219,1684191600,2023-05-16 20:38:01,17938,48703,5639,19186,1801,2,2
00151c,DAL6062,LOWW,EDDF,1685607646,1685631979,1685574000,2023-06-01 10:20:46,24333,41762,831,19304,6870,5,2
00167f,SWA1442,WSSS,EGLL,1691470297,1691507300,1691449200,2023-08-08 06:51:37,37003,18832,7871,14091,1635,1,1
001693,SWA3077,LHBP,KJFK,1673841268,1673853971,1673823600,2023-01-16 04:54:28,12703,23415,9495,27244,561,1,1
001795,UAL5457,ESSA,OMDB,1675835986,1675850077,1675810800,2023-02-08 06:59:46,14091,5065,9475,5133,823,2,4
0019e2,SIA9489,OTHH,KLAX,1689605413,1689610635,1689548400,2023-07-17 16:50:13,5222,30035,851,4909,8149,4,4
001ab6,SWA518,KDFW,OTHH,1704024193,1704033981,1703977200,2023-12-31 13:03:13,9788,2620,5350,45271,8027,1,1
